,Survived,Pclass,Full Name,First Name,Last Name,Status,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,3,"braund, mr. owen harris", owen harris,braund, mr,M,22.0,1,0,A/5 21171,7.25,,S
1,1,1,"cumings, mrs. john bradley (florence briggs thayer)", john bradley (florence briggs thayer),cumings, mrs,F,38.0,1,0,PC 17599,71.2833,C85,C
2,1,3,"heikkinen, miss. laina", laina,heikkinen, miss,F,26.0,0,0,STON/O2. 3101282,7.925,,S
3,1,1,"futrelle, mrs. jacques heath (lily may peel)", jacques heath (lily may peel),futrelle, mrs,F,35.0,1,0,113803,53.1,C123,S
4,0,3,"allen, mr. william henry", william henry,allen, mr,M,35.0,0,0,373450,8.05,,S
5,0,3,"moran, mr. james", james,moran, mr,M,,0,0,330877,8.4583,,Q
6,0,1,"mccarthy, mr. timothy j", timothy j,mccarthy, mr,M,54.0,0,0,17463,51.8625,E46,S
7,0,3,"palsson, master. gosta leonard", gosta leonard,palsson, master,M,2.0,3,1,349909,21.075,,S
8,1,3,"johnson, mrs. oscar w (elisabeth vilhelmina berg)", oscar w (elisabeth vilhelmina berg),johnson, mrs,F,27.0,0,2,347742,11.1333,,S
9,1,2,"nasser, mrs. nicholas (adele achem)", nicholas (adele achem),nasser, mrs,F,14.0,1,0,237736,30.0708,,C
10,1,3,"sandstrom, miss. marguerite rut", marguerite rut,sandstrom, miss,F,4.0,1,1,PP 9549,16.7,G6,S
11,1,1,"bonnell, miss. elizabeth", elizabeth,bonnell, miss,F,58.0,0,0,113783,26.55,C103,S
12,0,3,"saundercock, mr. william henry", william henry,saundercock, mr,M,20.0,0,0,A/5. 2151,8.05,,S
13,0,3,"andersson, mr. anders johan", anders johan,andersson, mr,M,39.0,1,5,347082,31.275,,S
14,0,3,"vestrom, miss. hulda amanda adolfina", hulda amanda adolfina,vestrom, miss,F,14.0,0,0,350406,7.8542,,S
15,1,2,"hewlett, mrs. (mary d kingcome) ", (mary d kingcome) ,hewlett, mrs,F,55.0,0,0,248706,16.0,,S
16,0,3,"rice, master. eugene", eugene,rice, master,M,2.0,4,1,382652,29.125,,Q
17,1,2,"williams, mr. charles eugene", charles eugene,williams, mr,M,,0,0,244373,13.0,,S
18,0,3,"vander planke, mrs. julius (emelia maria vandemoortele)", julius (emelia maria vandemoortele),vander planke, mrs,F,31.0,1,0,345763,18.0,,S
19,1,3,"masselmani, mrs. fatima", fatima,masselmani, mrs,F,,0,0,2649,7.225,,C
20,0,2,"fynney, mr. joseph j", joseph j,fynney, mr,M,35.0,0,0,239865,26.0,,S
21,1,2,"beesley, mr. lawrence", lawrence,beesley, mr,M,34.0,0,0,248698,13.0,D56,S
22,1,3,"mcgowan, miss. anna ""annie"""," anna ""annie""",mcgowan, miss,F,15.0,0,0,330923,8.0292,,Q
23,1,1,"sloper, mr. william thompson", william thompson,sloper, mr,M,28.0,0,0,113788,35.5,A6,S
24,0,3,"palsson, miss. torborg danira", torborg danira,palsson, miss,F,8.0,3,1,349909,21.075,,S
25,1,3,"asplund, mrs. carl oscar (selma augusta emilia johansson)", carl oscar (selma augusta emilia johansson),asplund, mrs,F,38.0,1,5,347077,31.3875,,S
26,0,3,"emir, mr. farred chehab", farred chehab,emir, mr,M,,0,0,2631,7.225,,C
27,0,1,"fortune, mr. charles alexander", charles alexander,fortune, mr,M,19.0,3,2,19950,263.0,C23 C25 C27,S
28,1,3,"o'dwyer, miss. ellen ""nellie"""," ellen ""nellie""",o'dwyer, miss,F,,0,0,330959,7.8792,,Q
29,0,3,"todoroff, mr. lalio", lalio,todoroff, mr,M,,0,0,349216,7.8958,,S
30,0,1,"uruchurtu, don. manuel e", manuel e,uruchurtu, don,M,40.0,0,0,PC 17601,27.7208,,C
31,1,1,"spencer, mrs. william augustus (marie eugenie)", william augustus (marie eugenie),spencer, mrs,F,,1,0,PC 17569,146.5208,B78,C
32,1,3,"glynn, miss. mary agatha", mary agatha,glynn, miss,F,,0,0,335677,7.75,,Q
33,0,2,"wheadon, mr. edward h", edward h,wheadon, mr,M,66.0,0,0,C.A. 24579,10.5,,S
34,0,1,"meyer, mr. edgar joseph", edgar joseph,meyer, mr,M,28.0,1,0,PC 17604,82.1708,,C
35,0,1,"holverson, mr. alexander oskar", alexander oskar,holverson, mr,M,42.0,1,0,113789,52.0,,S
36,1,3,"mamee, mr. hanna", hanna,mamee, mr,M,,0,0,2677,7.2292,,C
37,0,3,"cann, mr. ernest charles", ernest charles,cann, mr,M,21.0,0,0,A./5. 2152,8.05,,S
38,0,3,"vander planke, miss. augusta maria", augusta maria,vander planke, miss,F,18.0,2,0,345764,18.0,,S
39,1,3,"nicola-yarred, miss. jamila", jamila,nicola-yarred, miss,F,14.0,1,0,2651,11.2417,,C
40,0,3,"ahlin, mrs. johan (johanna persdotter larsson)", johan (johanna persdotter larsson),ahlin, mrs,F,40.0,1,0,7546,9.475,,S
41,0,2,"turpin, mrs. william john robert (dorothy ann wonnacott)", william john robert (dorothy ann wonnacott),turpin, mrs,F,27.0,1,0,11668,21.0,,S
42,0,3,"kraeff, mr. theodor", theodor,kraeff, mr,M,,0,0,349253,7.8958,,C
43,1,2,"laroche, miss. simonne marie anne andree", simonne marie anne andree,laroche, miss,F,3.0,1,2,SC/Paris 2123,41.5792,,C
44,1,3,"devaney, miss. margaret delia", margaret delia,devaney, miss,F,19.0,0,0,330958,7.8792,,Q
45,0,3,"rogers, mr. william john", william john,rogers, mr,M,,0,0,S.C./A.4. 23567,8.05,,S
46,0,3,"lennon, mr. denis", denis,lennon, mr,M,,1,0,370371,15.5,,Q
47,1,3,"o'driscoll, miss. bridget", bridget,o'driscoll, miss,F,,0,0,14311,7.75,,Q
48,0,3,"samaan, mr. youssef", youssef,samaan, mr,M,,2,0,2662,21.6792,,C
49,0,3,"arnold-franchi, mrs. josef (josefine franchi)", josef (josefine franchi),arnold-franchi, mrs,F,18.0,1,0,349237,17.8,,S
50,0,3,"panula, master. juha niilo", juha niilo,panula, master,M,7.0,4,1,3101295,39.6875,,S
51,0,3,"nosworthy, mr. richard cater", richard cater,nosworthy, mr,M,21.0,0,0,A/4. 39886,7.8,,S
52,1,1,"harper, mrs. henry sleeper (myna haxtun)", henry sleeper (myna haxtun),harper, mrs,F,49.0,1,0,PC 17572,76.7292,D33,C
53,1,2,"faunthorpe, mrs. lizzie (elizabeth anne wilkinson)", lizzie (elizabeth anne wilkinson),faunthorpe, mrs,F,29.0,1,0,2926,26.0,,S
54,0,1,"ostby, mr. engelhart cornelius", engelhart cornelius,ostby, mr,M,65.0,0,1,113509,61.9792,B30,C
55,1,1,"woolner, mr. hugh", hugh,woolner, mr,M,,0,0,19947,35.5,C52,S
56,1,2,"rugg, miss. emily", emily,rugg, miss,F,21.0,0,0,C.A. 31026,10.5,,S
57,0,3,"novel, mr. mansouer", mansouer,novel, mr,M,28.5,0,0,2697,7.2292,,C
58,1,2,"west, miss. constance mirium", constance mirium,west, miss,F,5.0,1,2,C.A. 34651,27.75,,S
59,0,3,"goodwin, master. william frederick", william frederick,goodwin, master,M,11.0,5,2,CA 2144,46.9,,S
60,0,3,"sirayanian, mr. orsen", orsen,sirayanian, mr,M,22.0,0,0,2669,7.2292,,C
61,1,1,"icard, miss. amelie", amelie,icard, miss,F,38.0,0,0,113572,80.0,B28,
62,0,1,"harris, mr. henry birkhardt", henry birkhardt,harris, mr,M,45.0,1,0,36973,83.475,C83,S
63,0,3,"skoog, master. harald", harald,skoog, master,M,4.0,3,2,347088,27.9,,S
